City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
rikitea,-23.1203,-134.9692,79.11,68.0,100.0,17.56,PF,1619214675.0
tessalit,20.1986,1.0114,88.03,7.0,0.0,6.64,ML,1619214898.0
bandarbeyla,9.4942,50.8122,82.92,73.0,100.0,7.38,SO,1619214533.0
barrow,71.2906,-156.7887,19.4,79.0,1.0,3.44,US,1619214696.0
salalah,17.0151,54.0924,82.4,74.0,40.0,5.75,OM,1619214605.0
busselton,-33.65,115.3333,61.0,75.0,99.0,3.0,AU,1619214659.0
butaritari,3.0707,172.7902,82.56,76.0,93.0,9.95,KI,1619214899.0
punta arenas,-53.15,-70.9167,46.4,93.0,75.0,3.44,CL,1619214675.0
bluff,-46.6,168.3333,46.0,94.0,82.0,16.17,NZ,1619214655.0
khatanga,71.9667,102.5,32.95,97.0,100.0,21.07,RU,1619214496.0
mangrol,21.1167,70.1167,80.15,78.0,95.0,8.7,IN,1619214899.0
mataura,-46.1927,168.8643,46.0,94.0,65.0,0.72,NZ,1619214899.0
port elizabeth,-33.918,25.5701,62.6,82.0,40.0,8.05,ZA,1619214806.0
hithadhoo,-0.6,73.0833,82.0,74.0,7.0,7.9,MV,1619214900.0
puerto ayora,-0.7393,-90.3518,84.2,70.0,20.0,17.27,EC,1619214696.0
cabinda,-5.55,12.2,79.11,89.0,99.0,1.92,AO,1619214518.0
bengkulu,-3.8004,102.2655,73.56,89.0,90.0,3.83,ID,1619214294.0
dakar,14.6937,-17.4441,69.8,88.0,75.0,13.8,SN,1619214773.0
kaffrine,14.1059,-15.5508,89.6,43.0,0.0,9.22,SN,1619214900.0
broome,42.2506,-75.833,59.0,28.0,1.0,12.66,US,1619214621.0
taoudenni,22.6783,-3.9836,91.27,6.0,0.0,9.64,ML,1619214553.0
oyem,1.5995,11.5793,69.17,96.0,94.0,1.92,GA,1619214901.0
kavieng,-2.5744,150.7967,80.24,79.0,100.0,4.7,PG,1619214474.0
mincivan,39.0294,46.7185,58.68,78.0,60.0,0.09,AZ,1619214901.0
castro,-24.7911,-50.0119,57.15,75.0,5.0,2.39,BR,1619214901.0
ushuaia,-54.8,-68.3,42.8,87.0,75.0,4.61,AR,1619214896.0
kodiak,57.79,-152.4072,39.2,87.0,90.0,9.22,US,1619214902.0
raga,8.4596,25.678,80.62,46.0,91.0,5.01,SS,1619214902.0
ilulissat,69.2167,-51.1,37.4,65.0,100.0,2.3,GL,1619214503.0
port alfred,-33.5906,26.891,66.43,72.0,0.0,21.41,ZA,1619214232.0
menongue,-14.6585,17.691,61.92,54.0,67.0,3.49,AO,1619214902.0
lebu,-37.6167,-73.65,55.53,88.0,31.0,8.32,CL,1619214523.0
upernavik,72.7868,-56.1549,31.51,79.0,100.0,5.99,GL,1619214517.0
asfi,32.2994,-9.2372,64.15,90.0,83.0,3.11,MA,1619214903.0
la reforma,25.0833,-108.05,90.0,43.0,1.0,5.99,MX,1619214903.0
diffa,13.3154,12.6113,91.42,11.0,94.0,6.71,NE,1619214903.0
tuatapere,-46.1333,167.6833,46.0,95.0,99.0,1.99,NZ,1619214480.0
bethel,41.3712,-73.414,61.0,20.0,1.0,14.97,US,1619214402.0
east london,-33.0153,27.9116,64.45,76.0,8.0,10.0,ZA,1619214477.0
abu dhabi,24.4667,54.3667,80.6,61.0,0.0,3.44,AE,1619214732.0
provideniya,64.3833,-173.3,40.23,57.0,81.0,4.12,RU,1619214503.0
norman wells,65.282,-126.8329,32.0,32.0,75.0,11.5,CA,1619214481.0
colac,-38.3333,143.5833,53.01,98.0,100.0,6.85,AU,1619214904.0
dawei,14.0833,98.2,78.4,88.0,96.0,1.57,MM,1619214904.0
brownwood,31.7093,-98.9912,73.4,88.0,20.0,13.76,US,1619214905.0
marawi,7.9986,124.2928,73.99,91.0,100.0,5.99,PH,1619214905.0
bunumbu,8.1667,-10.8667,75.47,87.0,100.0,2.24,SL,1619214910.0
zheleznodorozhnyy,55.7503,38.0042,43.0,100.0,75.0,8.95,RU,1619214625.0
black forest,39.0131,-104.7008,48.2,53.0,90.0,12.66,US,1619214910.0
bathsheba,13.2167,-59.5167,82.4,57.0,40.0,17.27,BB,1619214526.0
coquimbo,-29.9533,-71.3436,64.4,59.0,40.0,11.5,CL,1619214911.0
sur,22.5667,59.5289,86.45,31.0,0.0,15.37,OM,1619214911.0
codrington,-38.2667,141.9667,53.76,88.0,100.0,7.96,AU,1619214911.0
tasiilaq,65.6145,-37.6368,37.4,48.0,75.0,4.61,GL,1619214717.0
yellowknife,62.456,-114.3525,16.0,57.0,75.0,13.8,CA,1619214790.0
kapaa,22.0752,-159.319,80.6,65.0,20.0,17.27,US,1619214912.0
kruisfontein,-34.0033,24.7314,59.0,91.0,4.0,1.01,ZA,1619214488.0
sistranda,63.7256,8.834,35.6,64.0,40.0,17.27,NO,1619214912.0
mar del plata,-38.0023,-57.5575,71.6,78.0,0.0,6.91,AR,1619214490.0
ojinaga,29.5667,-104.4167,84.2,6.0,1.0,18.41,MX,1619214912.0
rocha,-34.4833,-54.3333,64.0,91.0,3.0,9.4,UY,1619214912.0
hambantota,6.1241,81.1185,79.39,83.0,65.0,7.63,LK,1619214913.0
hilo,19.7297,-155.09,75.2,73.0,90.0,6.91,US,1619214766.0
tuktoyaktuk,69.4541,-133.0374,15.8,62.0,75.0,11.5,CA,1619214523.0
bang phae,13.6916,99.9298,81.0,94.0,95.0,4.85,TH,1619214913.0
kuusamo,65.9667,29.1833,30.2,93.0,90.0,5.75,FI,1619214379.0
san cristobal,7.7669,-72.225,89.6,58.0,20.0,9.22,VE,1619214913.0
perth,-31.9333,115.8333,62.6,55.0,0.0,5.75,AU,1619214914.0
hobart,-42.8794,147.3294,51.8,66.0,75.0,8.05,AU,1619214303.0
vaini,-21.2,-175.2,82.4,83.0,20.0,3.44,TO,1619214654.0
aksarka,66.5606,67.7975,30.49,96.0,80.0,8.16,RU,1619214914.0
haines junction,60.7522,-137.5108,50.0,25.0,9.0,5.75,CA,1619214494.0
kashi,39.4547,75.9797,48.2,13.0,0.0,4.47,CN,1619214914.0
new norfolk,-42.7826,147.0587,52.0,89.0,97.0,7.38,AU,1619214915.0
yar-sale,66.8333,70.8333,34.07,99.0,100.0,10.22,RU,1619214619.0
jian,27.1172,114.9793,66.13,95.0,6.0,1.61,CN,1619214915.0
chuy,-33.6971,-53.4616,66.92,83.0,17.0,13.04,UY,1619214525.0
arraial do cabo,-22.9661,-42.0278,73.4,83.0,0.0,18.41,BR,1619214494.0
narsaq,60.9167,-46.05,46.4,49.0,1.0,8.05,GL,1619214506.0
chapais,49.7834,-74.8492,50.0,29.0,1.0,19.57,CA,1619214526.0
kemijarvi,66.7131,27.4306,29.55,95.0,100.0,13.96,FI,1619214915.0
coihaique,-45.5752,-72.0662,50.0,66.0,75.0,4.61,CL,1619214216.0
ponta delgada,37.7333,-25.6667,59.0,67.0,40.0,20.71,PT,1619214633.0
airai,-8.9266,125.4092,57.72,87.0,19.0,2.73,TL,1619214505.0
jamestown,42.097,-79.2353,55.4,30.0,1.0,17.27,US,1619214453.0
hofn,64.2539,-15.2082,44.31,79.0,98.0,3.91,IS,1619214282.0
sitka,57.0531,-135.33,59.0,23.0,1.0,10.36,US,1619214405.0
gogrial,8.5332,28.1004,85.93,44.0,17.0,3.67,SS,1619214916.0
saint-philippe,-21.3585,55.7679,77.0,73.0,78.0,6.91,RE,1619214518.0
katsuura,35.1333,140.3,55.4,67.0,20.0,6.91,JP,1619214223.0
hermanus,-34.4187,19.2345,57.0,87.0,98.0,1.99,ZA,1619214717.0
remanso,-9.6179,-42.0831,77.94,72.0,25.0,4.92,BR,1619214917.0
luderitz,-26.6481,15.1594,63.27,80.0,44.0,8.28,NA,1619214590.0
padang,-0.9492,100.3543,75.2,94.0,40.0,2.3,ID,1619214922.0
saint anthony,45.0205,-93.218,48.2,81.0,90.0,3.44,US,1619214490.0
cabo san lucas,22.8909,-109.9124,84.2,47.0,40.0,8.05,MX,1619214922.0
saldanha,-33.0117,17.9442,57.2,77.0,78.0,4.61,ZA,1619214568.0
aklavik,68.2191,-135.0107,35.6,48.0,75.0,2.3,CA,1619214509.0
qaanaaq,77.484,-69.3632,22.28,83.0,100.0,4.63,GL,1619214490.0
esperance,-33.8667,121.9,57.2,88.0,96.0,12.66,AU,1619214568.0
thompson,55.7435,-97.8558,24.8,74.0,90.0,13.8,CA,1619214749.0
misratah,32.3754,15.0925,63.16,88.0,38.0,26.31,LY,1619214923.0
carnarvon,-24.8667,113.6333,64.4,77.0,0.0,8.05,AU,1619214923.0
the valley,18.217,-63.0578,84.2,69.0,20.0,12.66,AI,1619214523.0
dalianwan,39.0286,121.695,53.6,94.0,40.0,6.71,CN,1619214923.0
nuuk,64.1835,-51.7216,32.0,86.0,90.0,4.61,GL,1619214924.0
nikel,69.4128,30.222,30.2,74.0,0.0,3.44,RU,1619214924.0
ryotsu,38.0833,138.4333,48.2,87.0,0.0,1.14,JP,1619214924.0
half moon bay,37.4636,-122.4286,66.2,82.0,90.0,8.05,US,1619214925.0
boa vista,2.8197,-60.6733,84.2,70.0,75.0,13.8,BR,1619214925.0
jalingo,8.8833,11.3667,81.82,60.0,95.0,2.37,NG,1619214925.0
albany,42.6001,-73.9662,57.99,20.0,5.0,8.01,US,1619214925.0
longyearbyen,78.2186,15.6401,14.0,67.0,75.0,13.8,SJ,1619214926.0
rutland,43.6167,-73.0162,54.0,28.0,40.0,16.11,US,1619214926.0
lagoa,39.05,-27.9833,57.81,78.0,7.0,32.37,PT,1619214926.0
lompoc,34.6391,-120.4579,61.0,59.0,0.0,9.22,US,1619214561.0
constitucion,-35.3333,-72.4167,58.01,72.0,0.0,9.37,CL,1619214314.0
ambon,-3.6954,128.1814,78.8,94.0,40.0,5.75,ID,1619214927.0
rawson,-43.3002,-65.1023,57.47,61.0,4.0,21.61,AR,1619214380.0
lufilufi,-13.8745,-171.5986,87.8,74.0,20.0,3.44,WS,1619214927.0
brokopondo,4.75,-55.1667,77.04,89.0,98.0,8.86,SR,1619214927.0
providencia,28.7167,-111.5833,82.0,39.0,0.0,8.01,MX,1619214928.0
goma,-1.6792,29.2228,61.93,91.0,89.0,3.74,CD,1619214928.0
boyuibe,-20.4167,-63.2833,75.2,73.0,90.0,10.49,BO,1619214928.0
ayolas,-27.4,-56.9,67.48,87.0,90.0,6.29,PY,1619214928.0
cherskiy,68.75,161.3,22.15,94.0,100.0,5.95,RU,1619214929.0
rypefjord,70.6333,23.6667,32.0,64.0,75.0,9.22,NO,1619214929.0
victoria,22.2855,114.1577,78.01,86.0,20.0,3.0,HK,1619214736.0
prince rupert,54.3161,-130.3201,53.6,62.0,1.0,6.91,CA,1619214860.0
sao filipe,14.8961,-24.4956,72.66,72.0,45.0,11.03,CV,1619214488.0
faanui,-16.4833,-151.75,80.4,74.0,80.0,9.82,PF,1619214618.0
maraba,-5.3686,-49.1178,80.6,96.0,75.0,2.46,BR,1619214929.0
